Fechamento,Abertura,Maxima,Minima,Chikou,Tekan,Kinju,Senkou A,Senkou B,Chikou0,Chikou1,Chikou2,T/K 0,T/K 1,T/K 2,Preco X T/K 0,Preco X T/K 1,Preco X T/K 2,Kumo 0,Kumo 1,Kumo 2,Resultado
102.09,106.47,101.01,103.95,89.82,104.7,113.36,124.16,116.22,0,0,1,0,0,1,1,0,0,0,0,1,1
103.33,105.49,102.79,104,92,105.22,113.36,124.86,101.54,0,0,1,0,0,1,1,0,0,0,0,1,1
104,104,101.1,101.44,91.6,104.57,109.71,125.39,101.54,0,0,1,0,0,1,1,0,1,0,0,1,1
101.74,101.74,92.33,94.65,95.56,101.17,107.28,123.76,101.54,0,0,1,0,0,1,1,0,0,0,0,1,1
94.66,99.99,93,94.99,94.5,101.17,107.28,123.74,101.54,0,0,1,0,0,1,1,0,1,0,0,1,1
95,98.12,94.22,96.61,96.95,101.08,107.28,122.8,101.54,0,0,1,0,0,1,1,0,1,0,0,1,1
97.51,97.66,86.3,88.05,96.02,97.14,102.65,122.8,101.54,0,0,1,0,0,1,1,0,0,0,0,1,1
88.05,92.3,87.51,90.13,94.4,95.42,97.87,121.95,101.54,0,0,1,0,0,1,1,0,1,0,0,1,1
90.41,90.98,76.98,77.53,98.6,90.16,92.61,120.21,112.48,0,0,1,0,0,1,1,0,0,0,0,1,1
78.89,83.11,72,80.53,101.49,90.16,92.61,118.61,116.37,0,0,1,0,0,1,1,0,1,0,0,1,1
79.99,80,65.53,68.43,107.95,84.77,88.06,114.46,116.37,0,0,1,0,0,1,1,0,1,0,0,1,1
68.5,75,66.82,70.28,106.21,81.33,88.06,112.63,116.37,0,0,1,0,0,1,1,0,1,0,0,1,1
68.75,74.56,66.62,74.56,104.86,81.33,88.06,112.63,116.37,0,0,1,0,0,1,1,0,1,0,0,1,1
76.5,80,72.6,76.52,104.5,81.33,88.06,112.63,116.37,0,0,1,0,0,1,1,0,1,0,0,1,1
76,78.3,72.52,76.69,104.95,77.97,88.06,112.63,116.37,0,0,1,0,0,1,1,0,0,0,0,1,1
76.72,87,76.2,86.76,105.12,77.97,88.06,111.96,116.37,0,0,1,0,0,1,1,0,0,0,0,1,1
88,90.28,85.08,88.98,106.72,76.76,88.06,109.47,115.9,0,0,1,0,0,1,1,0,0,0,0,1,1
88.98,104,88.17,93.59,106.75,78.3,88.06,109.24,115.9,0,0,1,0,0,1,0,1,0,0,0,1,1
93.99,98.25,88.06,98.13,106.75,78.3,88.06,109.09,115.9,0,0,1,0,0,1,0,1,0,0,0,1,1
98.7,98.7,92.86,94.69,103.07,81.57,88.06,109.09,115.9,0,0,1,0,0,1,0,1,0,0,0,1,1
93.61,101.9,93.11,98.4,102.8,83.84,88.06,109.09,115.9,0,0,1,0,0,1,0,1,0,0,0,1,1
98.89,99.86,96.14,97.45,103,86.33,88.06,109.29,115.9,0,0,1,0,0,1,0,1,0,0,0,1,1
96.71,99.97,96.18,98.5,105,86.44,87.97,108.59,114.19,0,0,1,0,0,1,0,1,0,0,0,1,1
98.5,98.8,86.2,90.58,106.99,91.47,87.33,108.59,114.19,0,0,1,0,1,0,0,1,0,0,0,1,1
90.07,95.2,87.8,92.17,109.56,92.58,85.61,108.59,114.19,0,0,1,0,1,0,1,0,0,0,0,1,1
92,93.1,89.27,89.39,112.56,92.79,85.61,108.48,115.07,0,0,1,0,1,0,1,0,0,0,0,1,1
89.82,91.95,88,90.76,110,92.79,85.61,109.03,115.07,0,0,1,0,1,0,1,0,0,0,0,1,1
92,92,90.08,91.61,108.99,92.79,84.77,109.29,115.07,0,0,1,0,1,0,1,0,0,0,0,1,1
91.6,96.82,91.6,95.56,112.75,92.79,82.31,107.14,115.07,0,0,1,0,1,0,1,0,0,0,0,1,1
95.56,95.99,93,94.51,113.38,92.79,82.31,104.22,112.64,0,1,0,0,1,0,0,1,0,0,0,1,1
94.5,97.33,93.87,96.9,119,92.79,82.31,104.22,112.64,0,1,1,0,1,0,0,1,0,0,0,1,1
96.95,97.47,96,96.02,121.21,92.7,82.31,104.18,112.64,0,1,0,0,1,0,0,1,0,0,0,1,1
96.02,97,93,94.12,123.3,92.7,82.31,99.9,109.34,0,1,0,0,1,0,0,1,0,0,0,1,1
94.4,100.58,94,99.76,122,92.7,82.31,96.65,109.34,0,1,0,0,1,0,0,1,0,0,0,1,1
98.6,102.5,98.45,101.2,118.51,94.61,83.44,91.39,104.08,0,1,0,0,1,0,0,1,0,0,1,0,0
101.49,107.99,100.47,107.99,119.6,96.04,84.45,91.39,104.08,0,1,0,0,1,0,0,1,0,0,1,0,0
107.95,111.34,103.88,106.09,122.11,99,87.08,86.41,99.53,0,1,0,0,1,0,0,1,0,0,1,0,0
106.21,108,103.01,104,120.07,99,89.22,84.69,99.53,0,1,0,0,1,0,0,1,0,0,1,0,0
104.86,108,101.21,104.5,126.48,99,90.2,84.69,99.53,0,1,0,0,1,0,0,1,0,0,1,0,0
104.5,105.78,102,104,122.62,99,90.29,84.69,99.53,0,1,0,0,1,0,0,1,0,0,1,0,0
104.95,105.95,103.52,105.14,122.35,99,95.32,83.02,99.53,0,1,0,0,1,0,0,1,0,0,1,0,0
